row_id,content,theme,sentiment_word,sentiment_anls
124,服务到家直接扛上楼，非常好。就是洗衣机打开后房间有股味道， 过了一周多才消除，是否有害也不知道。没有加洗衣粉/洗涤剂的罩杯子的，送的水管偏短。我自己另外搞的一根水管接上的。总评70分吧。,NULL;NULL;,好;偏短;,1;-1;
125,辣鸡辣鸡  发给我一个坏的   说要邮寄回去 运费我先出  商家再给我 再发个新的给我  结果发完耳机就不理我了    客服电话也不接  *********,NULL;NULL;NULL;,辣鸡;坏;不理;,-1;-1;-1;
126,刚到家立马就装好了，给爸妈买的，按摩效果挺不错的，老年人健康是最重要的了，爸妈挺满意的,NULL;NULL;NULL;,不错;健康;满意;,1;1;1;
127,开不了机，手电筒可以打开，但是不可以开机，醉了，然后说明书写的客服时间是到晚上20:30，我六点零几打过去，人家说六点下班,NULL;NULL;,开不了机;醉了;,-1;-1;
128,大品牌质量放心，但是直径只有30厘米，没有广告上的32厘米，,质量;,放心;,1;
129,货收到，还未使用。谢谢！,,,
130,送货挺快的，电视是自己装的，就4个螺丝，几分钟就装好了，电视很清晰，售后也给力，以后苏宁易购送货家电最好当面打开就完美了,送货;电视;售后;,挺快;清晰;给力;,1;1;1;
131,才买一个月，就无法开机了。[追评]虽说有不愉快的使用体验，但及时负责的售后服务弥补了缺憾。华为和苏宁都做到了以最快的速度与客户沟通了解情况，解决问题（苏宁快递带来全新的华为同款产品并免费收走出问题的产品）。,NULL;使用体验;,不愉快;负责;,-1;1;
132,价格便宜，用后也非常舒服……,价格;NULL;,便宜;舒服;,1;1;
133,还没用呢 不过老包装还不错，还有赠品，应该不错,包装;NULL;,不错;不错;,1;1;
134,简直了，小样到现在没拿到，水乳的味道和以前用的有区别，不敢用,NULL;,不敢用;,-1;
135,二,,,
136,到目前空调还好，声音较小，就是遥控器设计不够智能，没有设定每天定时开关机功能，没有时钟功能。,空调;声音;设计;,还好;较小;不够智能;,1;-1;-1;
137,物超所值买的很满意，用起来简单方便，很喜欢导购员也热情周到,NULL;NULL;用起来;NULL;导购员;NULL;,物超所值;满意;简单方便;喜欢;热情;周到;,1;1;1;1;1;1;
138,手机有点发热，充电发热,手机;充电;,发热;发热;,-1;-1;
139,还好，验证了是正品，第一次用，还不习惯，感觉很不方便，没有我魅族好用。,NULL;NULL;NULL;,还好;正品;不方便;,1;1;-1;
140,刚好赶上活动买的，特别实惠，感觉屏幕的分辨率也挺好的，网络也顺畅,NULL;分辨率;网络;,实惠;挺好;顺畅;,1;1;1;
141,不好，刚收到，头就是歪的，已坏,NULL;NULL;,不好;坏;,-1;-1;
142,弄不清楚，第三方发货，一个商品好几种价。,NULL;,不清楚;,-1;
143,还行，就是反应有点慢。最主要的是，竟然没有耳机，没有耳机。。。。。。,NULL;反应;,还行;有点慢;,1;-1;
144,图片和实图不符,NULL;,不符;,-1;
145,东西寄来有外表问题,,,
146,真是一次糟心的网购，选的全网通，发的移动定制，买的玫瑰金发的金色，差价137，给退了110，客服态度差还没法投诉，真是够了。,网购;客服态度;,糟心;差;,-1;-1;
147,发货慢，说的第二天，真正发的是第四天。,发货;,慢;,-1;
148,总有剩面，活出的面硬,NULL;,硬;,-1;
149,整体还是满意的，第一次用魅族,整体;,满意;,1;
150,一般般，不知道是不是正品，用了再评价吧,NULL;,一般般;,0;
151,看着手机还可以。不过为什么手机没有电。充电的也只有数据线。,手机;,还可以;,1;
152,买的时候看活动就剩下五个小时恢复原价，过两天看还是这价！呵呵产品么用不知道效果，上次买的嘉实多好像噪音有点大,噪音;,有点大;,-1;
153,小瓶的没给我,,,
154,做工稍显粗不像苏泊尔其他产品细致锅体有划伤，电源线上有库存很久才会出现的泡沫沾浮物，锅的生产日期为今年7月。,锅体;,划伤;,-1;
155,卡是满快的就是给我发错货了，我拍的是Nano-SIM卡 12mm*9mm的结果给我的是另外一个，联系客服居然跟我说她解决不了！很气愤！,NULL;NULL;NULL;NULL;NULL;,卡;满快;发错货;卡;气愤;,-1;1;-1;-1;-1;
156,货很好，质量很好,货;质量;,很好;很好;,1;1;
157,不知道为何答应退差价的钱没给我是什么意思,,,
158,***电脑。买了都***。,,,
159,物流挺快，试了一阵子，感觉挺好的。,物流;NULL;,挺快;挺好;,1;1;
160,物流很快就到了，比原装得好用，特别满意。原本都想把手机给丢了，现在看来不用了。,物流;NULL;NULL;,很快;好用;满意;,1;1;1;
161,做工挺粗糙的，比我预想的差好多,做工;NULL;,粗糙;差;,-1;-1;
162,物不所值……贴膜本身厚，右侧边缘切边厚，有一定翘曲导致不贴合屏幕……贴上以后整个一圈的边缘全部不贴合，不能用……这就是我的情况,NULL;贴膜;边缘;边缘;NULL;,物不所值;厚;厚;不贴合;不能用;,-1;0;0;-1;-1;
163,座垫很薄很轻，感觉像外面实体店几十元的一套的座垫。,座垫;NULL;,很薄;很轻;,-1;1;
164,效果海可以的,NULL;,可以;,1;
165,物流很快，包装很完美，净水器也很给力，外观设计美观，等安装好了再晒图，分享给大家。,物流;包装;净水器;设计;,很快;完美;给力;美观;,1;1;1;1;
166,好用，一直用这个牌子,NULL;,好用;,1;
167,差差差，一个月才发货！,NULL;,差;,-1;
168,总体质量还可以，送货速度较快,质量;送货速度;,还可以;较快;,1;1;
169,后悔买了戴尔，只知道这个品牌想不到它的售后这么差。购置了两台打开电脑是空白的自己又不懂不敢乱动联系售后不肯上门说只有硬件坏才上门，我上两个电脑都是买的拼装机用了十年都没问题，卖的就是一个服务。3年上门服务是假的，低配置高价格开机很慢打开网页也很慢。本来买个品牌好点的希望有个更好的服务，然并卵。以后绝不买戴尔还是国内的联想好,NULL;售后;NULL;NULL;NULL;打开网页;,后悔;差;没问题;假;很慢;很慢;,-1;-1;1;-1;-1;-1;
170,电视感觉不错，目前家里还没开通网络，用手机分享热点试了一下，感觉还行。,电视;NULL;,不错;还行;,1;1;
171,这个电脑非常不好用，非常卡，不值这么多钱，而且刚拿回来什么都不好使，还得去找售后，,电脑;NULL;NULL;,不好用;卡;不值;,-1;-1;-1;
172,电视可以！,电视;,可以;,1;
173,已经用上了，正品，跟我超市买的一样,NULL;,正品;,1;
174,刚收到货，辛苦送货小哥了，大热天的帮忙送上楼，但是，卸货的那哥们简直是简单粗暴，冰箱从半米高的地方就这么往下丢，看着我都心痛。,送货小哥;NULL;NULL;看着;,辛苦;简单;粗暴;心痛;,1;1;-1;-1;
175,手机还行，但是没有发票、贴膜，没有手机壳，就是一个裸机，还不如到实体店购买，一样的价格还送贴膜、手机壳！,手机;,还行;,1;
176,还行吧，我觉得用刀片加泡沫刮得更干净,NULL;NULL;,还行;干净;,1;1;
177,颜色与图片严重不符,图片;NULL;,严重;不符;,-1;-1;
178,商品已收到，与描述相符，是我喜欢的东东，不到一小时就坏了，慢吞吞！！！自从知道评论可以获取云豆，云豆又可以当钱花，买了东西我就开始逐一评论，谢谢！！！,NULL;东东;NULL;,相符;喜欢;坏;,1;1;-1;
179,手机和手表在一起，定位偏差的不要不要的，只能当玩具玩玩了，如果是看中定位功能的，还是不要买了,定位;NULL;,偏差;不要买;,-1;-1;
180,散装来的,,,
181,无语了，买的一套，但是因为气源不匹配，他们卖的时候标着两用，但是安装时只能用天然气，所以需要更换，但是不同意，需要我退，有人打电话说不用我出取件费，现在直接就扣了。而且退货原因还说我不想要了，真是无语，这售后，这服务，啥情况呢？,NULL;气源;NULL;,无语;不匹配;无语;,-1;-1;-1;
182,感觉不给力(),NULL;,不给力;,-1;
183,买手机，就一个裸机盒子特别大，手机在里面乱撞。买回来没有手机壳和手机膜，我们自己在外面买的     太坑了,盒子;NULL;NULL;,大;乱撞;太坑;,-1;-1;-1;
184,后壳有点厚。。。。而且太硬了。。。。这样就耐摔了。。。。钢化膜也就一般般了,后壳;NULL;钢化膜;,有点厚;太硬;一般般;,-1;-1;0;
185,服务物流都不错，不过内胆很容易花。拆开包装就发觉里面有点掉漆样，估计是运送时里面的插线和勺子磨了的,物流;NULL;,不错;掉漆;,1;-1;
186,这次还行。下一次郁闷了。说大促要慢点发货，但是页面上明明写着三天就到，现在要十几天才能到，到现在发货都没发，说要优先照顾家电，如果这样那你做家用品干嘛？苏宁都转型几年了，难怪做不起来,NULL;NULL;,还行;郁闷;,1;-1;
187,买了两幅收到一副音质有问题，听不见声音只有电流声，跟客服反映就说吹一下就好了，这样回答真的万马奔腾而过。最后客服同意退货，由于本人懒得出门就没寄件但是有一副耳塞是坏的，质量也没有介绍的好也就是10块钱小摊价，购买需谨慎。,音质;耳塞;,有问题;坏;,-1;-1;
188,快递太慢！！好几天了还没发票！！送到时非要三十块钱安装费，不然就没售后服务！对苏宁失望了有点。过段时间，再追评,快递;苏宁;,太慢;失望;,-1;-1;
189,苏宁的服务真的不敢恭维。有事都是推给客户自己处理。近期买了2台，第一台安装的时候我不在，明明打砖墙不收费，结果被收了50块，也就认了。第二台打去安装，被告知没有水钻！打不了洞！这不是前后矛盾吗？结果要我自己打好才能安装，订单预约被强制延期。到这，我就对苏宁有了一个认识了。,服务;,不敢恭维;,-1;
190,宝贝收到，包装结实，美观上档次，打开宝贝真是漂亮，做工精美，连上网使用很顺畅。,包装;NULL;NULL;宝贝;做工;使用;,结实;美观;上档次;漂亮;精美;顺畅;,1;1;1;1;1;1;
191,扫码了，应该是正品吧。快递感觉超级慢，不过呢目前还不知道效果如何，会来追评的,NULL;快递;,正品;慢;,1;-1;
192,好效果非常突出,NULL;效果;,好;突出;,1;1;
193,味道不好闻，效果不错,味道;效果;,不好闻;不错;,-1;1;
194,钢化膜没有，耳机没有，物流还慢，真的好生气哦，,物流;,慢;,-1;
195,好好！！！,NULL;,好;,1;
196,发货速度很快，很喜欢。,发货速度;NULL;,很快;喜欢;,1;1;
197,阿道夫，味道好闻，留香时间久，而且洗后头发很顺滑。,味道;NULL;头发;,好闻;久;顺滑;,1;0;1;
198,已使用，没去验证，感觉还不错，相信苏宁,NULL;,不错;,1;
199,送的速度也快，画面也很清晰，*值得了。,速度;画面;NULL;,快;清晰;值得;,1;1;1;
200,不错，值得购买,NULL;NULL;,不错;值得购买;,1;1;
201,建议油痘肌最好不要用，闷痘很严重，买了小的回来试，用了第二天脸上起了六七个大痘，也可能是个人的原因,闷痘;,严重;,-1;
202,机器发烫，打发效果不好,机器;打发效果;,发烫;不好;,-1;-1;
203,个人觉得这款手机不值得购买,手机;,不值得;,-1;
204,组装简单方便好用，孩子衣服烘干超快,组装;NULL;NULL;NULL;,简单;方便;好用;超快;,1;1;1;1;
205,送货比较快，但是安装师傅太可耻了，一进门就说要收安装费，不给钱就不给装。真是超级无语。热水器出水很烫，火力调低之后又冲不开。不怎么好。,送货;安装师傅;NULL;出水;NULL;,较快;可耻;无语;很烫;不怎么好;,1;-1;-1;-1;-1;
206,国产的，太香面膜纸太厚,面膜纸;,太厚;,-1;
207,物流慢，快递小哥还可以,物流;快递小哥;,慢;还可以;,-1;1;
208,不好，色差太大,NULL;色差;,不好;太大;,-1;-1;
209,触摸按键很不好按，要熟悉下才行,触摸按键;,不好;,-1;
210,表一般 只有基站定位 没有GPRS定位 定位相差很远 微信无法登陆 和店家沟通了 还是不行 店家建议邮寄回去鉴定 孩子喜欢 不让寄回 就这样吧 也没几个钱 不够折腾呢,表;NULL;NULL;NULL;,一般;不行;喜欢;就这样;,0;-1;1;0;
211,很好的手机粘上它后成***，大宽边，遮盖屏幕，不理想,NULL;NULL;,很好;不理想;,1;-1;
212,质量还可以，就是比想象中的小一点,质量;,还可以;,1;
213,嗯，挺好的，带上手机套瞎几把翘起白边来了,NULL;,挺好;,1;
214,用十几天就坏了，太不像话了，在本地买一样的才只要40元钱，！太黑心了，,NULL;NULL;,坏;黑心;,-1;-1;
215,外观上还是非常不错的，只是开机工作后噪音太大,外观;噪音;,不错;太大;,1;-1;
216,   有点凝擦上有点干。有点不好,NULL;NULL;,干;不好;,-1;-1;
217,电视机不错，图像清晰，视觉效果好，物流给力，售后师傅服务热情，详细讲解。功能太多了,电视机;图像;物流;服务;NULL;功能;,不错;清晰;给力;热情;详细;太多;,1;1;1;1;1;-1;
218,不是4只是高清,,,
219,经济实惠，好用，外观满意,NULL;NULL;外观;,经济实惠;好用;满意;,1;1;1;
220,来的一个链子上断了六七课珠子，给客服发信息说，客服说正常，这个珠子是赠品，不满意他的回答人家直接说可以退货，什么呀，只管卖不管产品质量，赠品也不能差到这样，放车上没几天珠子就又裂了几个，差,NULL;珠子;,不满意;差;,-1;-1;
