20024,手机拿到手很满意，拍照效果棒！美中不足就是配套里面没有取卡针，问vivo售后平台，人家却来了个语言太极，明明配套里没有取卡针，非要推我去售后让我自己花钱买,效果;手机;NULL;,棒;满意;美中不足;,1;1;0;
20025,没有蜡，还掉毛，骗人的,;,;,;
20026,海尔冰箱质量好，省电又静音,NULL;质量;NULL;,省电;好;静音;,1;1;1;
20027,误导消费群体,;,;,;
20028,不好用，说话对方听不见！,NULL;说话;,不好用;听不见;,-1;-1;
20029,物流太慢了！发个货整了7天，***,物流;,太慢了;,-1;
20030,本来买回来是熬粥的，熬出的不香，只能放着了,NULL;,不香;,-1;
20031,苏宁真是差，不送货到家，早几天在苏宁拼团买东西，没成功。到今天已经十来天了就没退款。打了几个电话都没果，只叫耐心等着。无语。,NULL;苏宁;NULL;,无语;差;耐心;,-1;-1;1;
20032,高档舒服有档次。,NULL;NULL;NULL;,高档;舒服;有档次;,1;1;1;
20033,没有发票给的吗？那不是没有保修？？？？,;,;,;
20034,苏宁的服务真的很无语 买来的手机出现频繁的问题 然后有个女客服打电话给我说是补偿100的无敌券 结果好几天没到 我就去找了客服 客服说没有记录？这我就很纳闷了.我手机黑屏卡顿 不是你们卖手机的人的问题吗？）呃呵了..大家还是去别的地方买吧！,NULL;NULL;服务;手机;,纳闷;卡顿;无语;黑屏;,-1;-1;-1;-1;
20035,随便吸点东西就堵了，尘土绒毛，全堵,;,;,;
20036,大音箱喇叭不响，做事不认真检查发货慢，好评都是刷出来假的骗人,喇叭;发货;NULL;NULL;,不响;慢;不认真;假;,1;-1;-1;-1;
20037,一次用品，质量不好,质量;,不好;,-1;
20038,太***了，价格变动太快，还不补差价，郁闷！,NULL;价格变动;,郁闷;太快;,-1;-1;
20039,差评！当初买了退款，他们就打电话来问，我说去***买了，他们就说了很多，我就***退款来这买！结果买了以后，收到有问题，就联系不上了，电话也不接，客服也没回！要买的亲请慎重选择卖家，谢谢！,卖家;NULL;NULL;,慎重;差评;有问题;,-1;-1;-1;
20040,不像正品。,NULL;,不正品;,-1;
20041,噪声太大。,噪声;,太大;,-1;
20042,差评，安装材料费太贵,安装;NULL;,太贵;差评;,-1;-1;
20043,防尘塞松,;,;,;
20044,机器小，杆老倒，固定了也不行,NULL;,不行;,-1;
20045,发货快，质量好，物有所值。,发货;NULL;质量;,快;物有所值;好;,1;1;1;
20046,我都谁退货。还要扣我款 凭什么！,;,;,;
20047,热的很快，但是感觉水温不是很高呢。,NULL;NULL;,很快;不是很高;,1;-1;
20048,服务态度和物流挺好，但是我怀疑我买了翻修机因为电脑里自带的office已经被别人激活了，不知道能不能给我个解释,物流;,挺好;,1;
20049,我真的服了你店了，不知道什么意思，9月25号拍的，拖了5天都不给发货，碰到十一假期就和我说要节后才能发，行吧，我退货，不要了，申请了退款，一直要我改退货原因，行，我又改，我付了1598.82元，你给我退1597.23元是什么意思，我这个月还要帮你们还这1块多钱信用卡。我自认倒霉，不会再来，不知道你们这样的公司怎么管理的。差评,NULL;,差评;,-1;
20050,容量不够大，外观造型很简单！,造型;容量;,简单;不够大;,1;-1;
20051,电池发热其它还可以,NULL;电池;,还可以;发热;,1;-1;
20052,这个声音太大了，质量还可以，但是不推荐购买，声音太大,质量;声音;购买;,还可以;太大;不推荐;,1;-1;-1;
20053,质量一般，价格便宜。不是特别好，一般般,NULL;价格;质量;NULL;,一般般;便宜;一般;不是好;,0;1;0;-1;
20054,机器的体积不大，滚筒倒是蛮大的。选择烘干入柜，衣服就不用晒直接入柜，以后再也不用担心冬天衣服不干了。,衣服;NULL;,不干;蛮大;,1;1;
20055,很好的产品，很实惠的价格。,价格;产品;,实惠;很好;,1;1;
20056,2017.10.8 单号9032389716 安装服务很满意,安装服务;,满意;,1;
20057,直接不行,NULL;,不行;,-1;
20058,高大上，超大容量，静音环保。,NULL;NULL;NULL;NULL;,大容量;高大上;环保;静音;,1;1;1;1;
20059,才买多久就降价400，我也是晕了，苹果掉价最快的手机，其他渠道降价更快，跌破一千的都有。,;,;,;
20060,很好！,NULL;,很好;,1;
20061,感觉买到假货了！现代朗动，换油后声音变大，油耗增加！苏宁快递太差劲，也不打电话，直接放代收点！包装简陋！,感觉;快递;包装;,假货;太差;简陋;,-1;-1;-1;
20062,这是从非洲生产的，所以吹出来的是非洲的空气，都是暖风，冷风可能要去冷库吹吧。,;,;,;
20063,利仁电饼铛了利仁,;,;,;
20064,东西很好性价比较高 很满意 包装没有破损,包装;东西;性价比;NULL;,没有破损;很好;高;满意;,1;1;1;1;
20065,真,;,;,;
20066,电视收货的时候通电正常，放置半个月安装时黑屏，厂家上门看后告知是我们的责任，我们没磕没碰，怎么就黑屏了？客服态度也极为不耐烦,客服态度;NULL;通电;安装;,不耐烦;黑屏;正常;黑屏;,-1;-1;1;-1;
20067,手机装，上卡没有信号,;,;,;
20068,很一般,NULL;,一般;,0;
20069,包装很结实滴，送货也非常快，还没有安装，总体客服和快递非常满意,送货;快递;包装;,快;满意;结实;,1;1;1;
20070,样子还行，立体感不强,样子;立体感;,还行;不强;,1;-1;
20071,哎，一到手，没多久就死机—次，后面但愿不要再出现。,;,;,;
20072,屏幕有点偏黄,屏幕;,偏黄;,-1;
20073,这款产品真的不错，家人非常喜欢，质量很好，外观也很漂亮,外观;质量;NULL;产品;,漂亮;很好;喜欢;不错;,1;1;1;1;
20074,冲不上电,;,;,;
20075,不咋地，太厚太腻了根本摸不开在脸上,NULL;,不咋地;,-1;
20076,大爱，值得购买,NULL;NULL;,大爱;值得购买;,1;1;
20077,安装花了300元，略贵，商品试用中，还行！苏宁的售后几乎无用！购买者慎重，选择app！,NULL;NULL;售后;NULL;,慎重;还行;无用;贵;,-1;1;-1;-1;
20078,不错哦，值得推荐,NULL;NULL;,值得推荐;不错;,1;1;
20079,一张膜包装值10快。膜值2块钱吧！太丑了，勉强用哈吧,NULL;,太丑;,-1;
20080,反应太慢了，卡,NULL;反应;,卡;太慢了;,-1;-1;
20081,服务烂到家。,服务;,烂;,-1;
20082,用了一次，化冰后满屋都是血水，和以前的星星完全不一样，周围都是缝隙。,;,;,;
20083,我敢肯定百分百假货 音质差到跟路边10块钱买的一样 声音还一边大一边小 低音简直没有 一直都是高音一般,NULL;NULL;音质;,假货;一般;差;,-1;0;-1;
20084,原装的数据线可以U***共享网络到台式机，这个数据线却不行，只能充充电啦。,数据线;,不行;,-1;
20085,用起来声音有点大,声音;,有点大;,-1;
20086,买到手外屏完好无损，内屏碎裂，且商家态度坚决，坚持不肯退换货。苏宁协调最多陪200。简直是***卖家，大家不要再买他家商品。,屏;内屏;,完好无损;碎裂;,1;-1;
20087,太***了 兄弟们千万别买  相信我 这个东西我同学们用都过敏 别买 骗子一个[追评]太破了,东西;NULL;,过敏;破;,-1;-1;
20088,收到了，东西拆开了，送的钢化膜太小了，不能用，东西应该是正品，商家态度真是够了。。。,东西;钢化膜;NULL;,正品;太小;不能用;,1;-1;-1;
20089,就用2天,;,;,;
20090,好洗，不是很紧绷,NULL;NULL;,不是紧绷;好洗;,1;1;
20091,和实体的感觉不一样。精华液多，但是味道不对,味道;,不对;,-1;
20092,水壶收到，还没有用，但是大品牌应该值得信赖。,大品牌;,值得信赖;,1;
20093,口红有点干,口红;,有点干;,-1;
20094,好，很好，非常好，爸爸妈妈很喜欢,NULL;NULL;NULL;,很好;很喜欢;好;,1;1;1;
20095,........好,NULL;,好;,1;
20096,基本没泡沫  不好洗  抹在脸上没感觉  怀疑是不是水货   真是便宜沒好货,洗;NULL;,不好;没感觉;,-1;-1;
20097,发货快:性价比好:下次继续购买,发货;性价比;,快;好;,1;1;
20098,机子在国庆节买的！没想到节前节后都有活动！就国庆节没有活动！贵了24元！！！这是在苏宁易购买的最生气的！差评！差评！差评！,NULL;NULL;,差评;贵;,-1;-1;
20099,速度快，质量不错，物美价廉，有朋友要买我会推荐这款给他。,NULL;质量;NULL;速度;,物美价廉;不错;推荐;快;,1;1;1;1;
20100,挂钩说实话不怎么样，有点水，螺丝不配套,螺丝;挂钩;,不配套;不怎么样;,1;-1;
20101,tmd是已经用过的，而且就28个G[追评]包装辣鸡，简陋,NULL;,简陋;,-1;
20102,超值，值的卖,NULL;,超值;,1;
20103,东西不错，正品，目前没问题,东西;NULL;NULL;,不错;正品;没问题;,1;1;1;
20104,东西不错 淡淡的香味 以后不紧绷,东西;NULL;香味;,不错;不紧绷;淡淡的;,1;1;1;
20105,不错。买了做礼品的,NULL;,不错;,1;
20106,这个充电宝可能过于饥渴，不会显示充满电,;,;,;
20107,感觉自己过敏了，去年用的同款没过敏，以前买的和这个包装也不一样,NULL;NULL;,过敏;没过敏;,-1;1;
20108,给的滤棉不是这个型号的，偏大,NULL;,偏大;,-1;
20109,图像成像一般，偶尔会有卡顿，走近色块有些严重，4K片源极少，很多都需要花钱买会员，看高清的仍然会有色块，不是特别细腻。,片源;成像;NULL;NULL;NULL;,极少;一般;卡顿;不是细腻;严重;,1;0;-1;-1;-1;
20110,总体来说还可以，电线和锅是一体的，没有商品介绍说的好，无极多档充其量是个开关，根本不存在变档一说。物流较***慢,物流;总体;,慢;还可以;,-1;1;
20111,一次买了三部，还可以吧,NULL;,还可以;,1;
20112,这款电视机自从2017年9月24日买了后，物流公司送货就放在过道上也不等家里人接收和验货，商家也不安排安装人员上门服务，在家里安装宽带需要调试没有办法的情况下，我们自己开箱检查发现电视剧屏幕里面有裂痕，电视剧来不了机，多次与客服、全国统一客服电话联系，一直没有帮我解决问题！直到今天也没解决！,屏幕;,裂痕;,-1;
20113,快递棒棒哒！,快递;,棒棒哒;,1;
20114,热水不出水,;,;,;
20115,外观好看，服务不错，品牌也行,外观;服务;品牌;,好看;不错;行;,1;1;1;
20116,脑残设计师陶瓷胆2个耳朵就那么一点点，拿都不好拿！谁买谁后悔！,NULL;,后悔;,-1;
20117,给老家父母买的，物流还是不错的，可这上门安装的服务，我说多了，就怕说脏话，我就想知道这洗衣机本身需要安装什么？买个洗衣机，安装是安装它能用起来，就是因为家里没有水龙头，拒绝施工，就换个三角阀的事情都怕担责任，各种理由推诿，我不是一个水电工，都能操作的事情，你们一个专业的安装都搞不定，如果嫌弃远不想来，直接说，又不是不给材料费用，极致差评！,安装;物流;NULL;,搞不定;不错;差评;,-1;1;-1;
20118,一直用这个挺好用的用完皮肤很滋润。不刺激。,NULL;NULL;皮肤;,挺好用;不刺激;滋润;,1;1;1;
20119,包装不好没密封，客服回复速度太慢。,包装;速度;,不好;太慢;,-1;-1;
20120,一般般，没感觉。,NULL;,一般般;,0;
20121,差评，不知道为什么放在车里自己漏了，车里温度不高于25度的情况下漏的，害得我坏了一双鞋,NULL;NULL;NULL;,坏;漏;差评;,-1;-1;-1;
20122,刚开始用的时候声音挺小的，现在觉得声音好大,声音;声音;,好大;挺小;,-1;1;
20123,是不是发错了，怎么不合套呀，装上手机自动关机了，按键位置对不上，顶主了开关机键,位置;,对不上;,-1;
20124,看评论说得多好多好的，买回来拆开看着这几个字好失望，而且找售后服务态度也很差根本不理的，也不知是不是正品，用着跟其他的吹风筒是一样的，声音比较大，要买的请慎拍吧，反正跟实体店包装盒是不一样的。,声音;态度;NULL;NULL;,较大;很差;不理;失望;,-1;-1;-1;-1;
20125,用了好多年的吹风机，非常棒,NULL;,棒;,1;
20126,用了不到一个月就花屏了，打客服说过了15天了只能让客户自己去维修，呵呵，好吧，苏宁再见，我自认倒霉,NULL;,花屏;,-1;
20127,还是挺不错的不知道是不是正品也不知道怎么验证问了客服没回应 之前下了单不知道他们周末不值班 还一直催 后来周一就给解释了 物流还是很快的 嗯还算满意,NULL;物流;NULL;,不错;很快;满意;,1;1;1;
20128,这是怎么了？[追评]进不了系统,;,;,;
20129,再用用看,;,;,;
20130,送货很快，用着还不错，6L偏小一点,用着;NULL;送货;,不错;偏小;很快;,1;-1;1;
20131,快递很慢,快递;,很慢;,-1;
20132,指纹收集器。灰尘收集器。[追评]充电慢。电池续航能力不行。,充电;续航能力;,慢;不行;,-1;-1;
20133,感觉还行，就是不晓得耗电是多少，一两个小时把衣服弄得差不多,NULL;,还行;,1;
20134,一直用的海尔大品牌可靠,大品牌;,可靠;,1;
20135,只是收到货了！等不来安装服务信息！售后服务差！,售后服务;,差;,-1;
20136,一般一般世界第三,;,;,;
20137,好评！,NULL;,好评;,1;
20138,***，服务差产品差,产品;服务;,差;差;,-1;-1;
20139,很好,NULL;,很好;,1;
20140,搞不懂下载直播就那么难，以前买的乐视随便下电视家，火星直播什么的，暴风为什么做不到？苏宁快递服务还是不错的,快递服务;,不错;,1;
20141,电视开机发现有竖屏线，厂家安装师傅给出鉴定书，厂家客服登记换货，一星期过去了，也不给发货，也不沟通联系，询问客服总是说“你的请求已登记”，其他的什么都不知道。干脆退货。,;,;,;
20142,非常好！,NULL;,好;,1;
20143,我手机有明显的质量问题，不止一处，沟通多次，被骗多次，诚信有极大问题，要求退货，被要求各种理由，其中一条还是不支持退货，购买三天内我就已经联系客服处理，至今一周都已经过去了，问题还没被解决，现在又让我提供这个那个的，我对他们的诚信无法给予肯定，这么大的平台，欺骗消费者，这些天真是被他们气坏了，一点诚信都没有,NULL;NULL;NULL;NULL;问题;,没有诚信;坏;欺骗;被骗;极大;,-1;-1;-1;-1;1;
20144,小巧。使用的时候发烫厉害，不知道这样会不会影响使用寿命，着急用，不退了。凑合用吧。不会回购。,NULL;NULL;使用;,小巧;凑合用;发烫;,1;0;-1;
20145,韵达快递简直不负责任！,韵达快递;,不负责任;,-1;
20146,发货太慢，第二天晚上九点才揽件,发货;,太慢;,-1;
20147,买回来给爷爷奶奶用的，,;,;,;
20148,昨天到货找了家苹果维修店安装，到今天已经自动关机了两次，找客服，一直说去售后维修，机子匹配不适，既然机子和这种电池匹配不适，为什么还要来卖它，让更多的消费群众，既花了钱没有解决掉事情，第一次用苏宁，还本来说再买两件电器，算了，不敢买,;,;,;
20149,反正大家不要在贪图占小便宜了，郁闷，来了不能装，说要做架子，结果架子就两根铝合金管子，收费120元，还没票，我说谁家的油烟机排气管子在家里面，你不给弄出去啊，人家说这不归他管，要开口也行，在收费，我可是知道了，什么都要收费唉,NULL;,郁闷;,-1;
20150,质量真不敢恭维，买了才一个月降价300不说，电视质量真心的差，色彩这些都不说了，用了刚好一个月电视就坏了，只听得见声音屏幕黑屏不显示了，开机速度也特别慢，看来真是便宜无好货。买家们购买需谨慎,质量;质量;电视;开机速度;屏幕;,不敢恭维;差;坏;慢;黑屏;,-1;-1;-1;-1;-1;
20151,哈哈哈，我是外貌协会的，看着还不错,看着;,不错;,1;
20152,发票一同送达的，机器质量是很好的。顺丰快递的速度和售后安装的速度都是很好的。,质量;速度;,很好;很好;,1;1;
20153,还好！,NULL;,还好;,1;
20154,音质不错！就是两个插头比较复杂。,音质;插头;,不错;复杂;,1;-1;
20155,宝贝挺好的，很方便的，出水也挺热,宝贝;NULL;,挺好;方便;,1;1;
20156,送货时快递公司，就放到楼下，之前说好的免费送货上门安装。安装结果没有烟机挂板，说了补发，一个多星期了，还没发货。,;,;,;
20157,就是稍微小点，挺好的,NULL;,挺好;,1;
20158,不怎么样。音质还赶不上一般的蓝牙耳机。还卖这么贵。买个教训,NULL;NULL;,不怎么样;贵;,-1;-1;
20159,偶然看到这个就想买来试试哈哈 很舒服 我敏感肌 脸颊还没敢用 只用在额头鼻子下巴处 效果很满意,脸颊;NULL;效果;,没敢用;舒服;满意;,-1;1;1;
20160,卡……刚下了几个软件，就动不了了……心痛，,NULL;NULL;,卡;心痛;,-1;-1;
20161,说给我个答复，到现在都没有见,;,;,;
20162,烤鸡都烤不熟,;,;,;
20163,让人不愉快的一次购物,购物;,不愉快;,-1;
20164,非常值得，性价比很高，捡到宝了,性价比;NULL;,很高;值得;,1;1;
20165,没见过这么差劲的店家，买商品之前说好赠送东西，买完以后没有所谓的赠品，直接不理不睬，生意讲究诚信与服务，赠送东西是小事，工作疏忽应该解决而不是逃避与置之不理！这样有失礼貌与诚信！,店家;工作;,差劲;疏忽;,-1;-1;
20166,很满意。,NULL;,满意;,1;
20167,脱水的声音像拖拉机[追评]售后服务更差!,售后服务;,更差;,-1;
20168,质量很好，又卖了一根，好评,质量;NULL;,很好;好评;,1;1;
20169,宝贝还好 就是外观有点丑,宝贝;外观;,还好;有点丑;,1;-1;
20170,外观还可以，但是容量真的有点太少了,容量;外观;,太少;还可以;,-1;1;
20171,外观好看，志高性价比高，几台空调都是志高的,外观;性价比;,好看;高;,1;1;
20172,效果没有想象的那样好,效果;,没有好;,-1;
20173,本来很相信华帝燃具的，这次购买的百得让我失望，使用了不到一个月就打不着火了，打售后电话没人接。苏宁越来越差！,苏宁;购买;售后电话;,越来越差;失望;没人接;,-1;-1;-1;
20174,还行吧，金属外壳，看着比较结实。就是标识混乱：如购买页面显示国家能耗2级，买到冰箱后冰箱上显示是国家能耗3级；耗电量，日冷动力（3个出处，3个版本），噪音。你让我们相信哪个？你又如何让我们相信你家的产品？还据说是做了多少年冰箱的大牌子。对此，我只给你一颗星。,NULL;看着;标识;,还行;结实;混乱;,1;1;-1;
20175,拍照一般，而且声音好小,拍照;声音;,一般;好小;,0;-1;
20176,不错不错不错不错不错不错不错不错不错,NULL;,不错;,1;
20177,第一次用电动牙刷，这个震动和声音吓到我了，只敢用最轻柔的模式，希望它能改善我的牙齿情况吧，组装非常简单，还挺划算的，送的盒子也喜欢。,盒子;NULL;NULL;组装;,喜欢;敢用;划算;简单;,1;1;1;1;
20178,好用的，皮肤好多了,NULL;,好用;,1;
20179,东西不错，家用值得购买,东西;NULL;,不错;值得购买;,1;1;
20180,还没用，不清楚,NULL;,不清楚;,-1;
20181,不大满意，想买个惠普的，看中的没有货，没有达到预期只能买个联想的凑合着吧,NULL;联想;,不大满意;凑合;,-1;0;
20182,东西收到了  好像用过的  屏是破的  ***了  颜色也不对  反应慢,颜色;反应;屏;,不对;慢;破;,-1;-1;-1;
20183,还行还行,NULL;,还行;,1;
20184,暂时用着还行,用着;,还行;,1;
20185,魅族的老用户了，note6总体表现还是不错的，就是屏幕色彩偏淡。,屏幕色彩;总体;,偏淡;不错;,-1;1;
20186,做工不精细，顶部开启按钮右高左低。当然，不影响使用。,做工;使用;,不精细;不影响;,-1;0;
20187,饼放进去就这样，凉面糊放进去，竟然灯还是灭了。功率有多大呀，这个锅。,;,;,;
20188,大品牌就是不错，送货速度也快，反映灵敏。,送货速度;反映;大品牌;,快;灵敏;不错;,1;1;1;
20189,***，用了一个月不到就坏了，就是突然坏的那种，正在充电，然后突然就不充了。,NULL;,坏;,-1;
20190,快递慢,快递;,慢;,-1;
20191,还没用不知道怎么样,;,;,;
20192,为什么比其他***贵一倍的价格,价格;,贵;,-1;
20193,不想说什么，完全没有说的那么好,NULL;,不想说;,-1;
20194,价格实惠，送货上门，服务态度好！,服务态度;价格;,好;实惠;,1;1;
20195,炉具质量不错,质量;,不错;,1;
20196,太辣鸡，直接差评，打电话对方直接听不到声音，给客服发消息一条都不回复，这样的店赶紧倒闭吧，良心不会痛吗？辣鸡，恶人迟早有恶报！,NULL;,差评;,-1;
20197,太恶心了，客服不上班，设置太复杂了，,设置;NULL;,复杂;恶心;,-1;-1;
20198,火力有点小，比之前的电磁炉慢很多，一分价钱一分货，凑合用吧,NULL;NULL;火力;,凑合用;慢;有点小;,0;-1;-1;
20199,好产品，好价格，愉快的网购。。。。。,网购;产品;价格;,愉快;好;好;,1;1;1;
20200,还不错。,NULL;,不错;,1;
20201,还没用，安装服务还可以，就是物流太差，送货时间他说什么就得什么时候，送到了丢在小区保安室就走了,物流;安装服务;,太差;还可以;,-1;1;
20202,没用两天断了，坑,NULL;,坑;,-1;
20203,用的挺好的，加热也快，就是感觉太大了浪费水，我放的生姜艾叶啥的汁就淡了，冲浪效果不错,加热;NULL;效果;NULL;NULL;,快;太大;不错;浪费;挺好;,1;-1;1;-1;1;
20204,一次买了40-50片，这个同时真没注意有香味，但是早上起来觉得有点刚买的瑜伽垫那种味道，我是干性皮肤，所以晚上用完没有洗掉，是不是这样不太好呢,;,;,;
20205,说送刀头，回来没有，还说我买的没送刀头的活动，没诚信，所以给差评,NULL;NULL;,没诚信;差评;,-1;-1;
20206,不建议买该电脑，因为电脑刚买的时候没有怎么用，现在用的时候觉的电脑开始时速度太慢，不值这个价位，打开缓存的视屏都很慢，玩游戏还没有玩过，所以不知道怎么样，不过跟之间用的电脑相比，实在觉的差,价位;NULL;速度;,不值;差;太慢;,-1;-1;-1;
20207,手机已坏，已充不入电，原本待机一晚都没电了，现在连充都充不了，客服还不鸟你,手机;NULL;,坏;充不了;,-1;-1;
20208,好看，但是质量一般，价格偏高，一看就是再生塑料！,NULL;价格;质量;,好看;偏高;一般;,1;-1;0;
20209,很不错呦,NULL;,不错;,1;
20210,膜是好膜就是太小了都没有屏幕大，就小那么一定盖不住屏幕,膜;膜;,好;太小;,1;-1;
20211,刚拿到机子，用用再追评,;,;,;
20212,好看,NULL;,好看;,1;
20213,电水壶烧水快、只用了五分钟，水就烧开了。外观设计上还可以，壶身重量比较轻，水烧开了声音有点响。物流送货速度快，昨晚订的货，今天早上就收到了，给个赞。,声音;NULL;烧水;重量;速度;设计;,有点响;赞;快;较轻;快;还可以;,-1;1;1;-1;1;1;
20214,不错，经常从苏宁易购上购买。价格实惠。,NULL;价格;,不错;实惠;,1;1;
20215,还说是什么正品，以后不要乱购买了差距太大了。一点都不润直接丢了,购买;,差距太大;,-1;
20216,味道跟之前专柜买的不一样，区别很大！真怀疑质量,区别;,很大;,1;
20217,试用预约13小时的八宝粥，效果不错,效果;,不错;,1;
20218,刚收到，用用再说,;,;,;
20219,还可以吧，能用就好了，不要奢求有多好。就这样吧,NULL;NULL;,就这样;还可以;,0;1;
20220,东西没用还不知道效果，用完再追评,;,;,;
20221,将就用,NULL;,将就用;,-1;
20222,感觉不是正品，跟之前买的不同，没啥效果[追评]用完两包暂时没看到有效果，前两天拆第三包用贴不紧准备扔了不是正品，,NULL;,不是正品;,-1;
20223,很不开心的购物经历，从来没遇到过这么无良的商家！,商家;购物经历;,无良;不开心;,-1;-1;
20224,上了电池搞了几天还好，过了几天就是白板一个，让你哭笑不得，孬货。,;,;,;
20225,坏的。电源插了不亮，非常不满意。[追评]售后服务相当快，服务态度相当好。仔细检查试了一下，是我自己电饭煲的电线头没有使劲查紧。但快递小哥还是换了一个新的。真挚道歉！对不起哈！苏宁易购，值得信赖！,NULL;NULL;服务态度;售后服务;NULL;,不满意;坏;好;快;值得信赖;,-1;-1;1;1;1;
20226,挺不错的，就是刚买完就有九折优惠活动，是不是不好,NULL;NULL;,不好;不错;,-1;1;
20227,满意。,NULL;,满意;,1;
20228,清晰度不是很高，但是大牌子，质量有保证。,清晰度;质量;,不是很高;保证;,-1;1;
20229,物流服务太度超差,物流服务;,超差;,-1;
20230,货物已收到，物流很快，商品很适用,商品;物流;,适用;很快;,1;1;
20231,首先物流很慢，慢慢慢慢到我第二天在广州买的东西都到了，结果在江苏出发的这个压力锅还没到（我在山东）。后来，有一点问题，想咨询一下客服。结果我从早上六点多一直等到快十一点。结果还显示有十几个人排队。中途扔给我个“按取消键试试”，人就不见了！我只想说，怎么没有负分给我打。[追评]有些人不相信，我加几个图。这次真的是很气愤，最不满意的一次网购。,NULL;物流;网购;,气愤;很慢;不满意;,-1;-1;-1;
20232,系统默认评价,;,;,;
20233,我靠，我是电摩托特意买了个震，结果用几天，手机掉了好几次，还好手快，最后一次掉地上了，就再也没用了。一分钱一分货。,;,;,;
20234,便宜不不是货，是货不便宜！,货;,不便宜;,-1;
20235,就是不合适手大的人,NULL;,不合适;,-1;
20236,一直在苏宁易购买东西，都是正品，货真价实，质量放心，以后会继续关注哒。赞赞赞！！！,NULL;NULL;质量;NULL;,正品;货真价实;放心;赞;,1;1;1;1;
20237,还可以。,NULL;,还可以;,1;
20238,外壳有点薄，也没有发票。,外壳;,有点薄;,-1;
20239,很不错一大瓶，活动价很划算,大瓶;活动价;,不错;划算;,1;1;
20240,很不好，用后肌肤过敏,NULL;肌肤;,不好;过敏;,-1;-1;
20241,货收到了，非常满意。双层包装很结实，还送了H炒锅，快递也很给力，速度很快。,快递;速度;NULL;包装;,给力;很快;满意;结实;,1;1;1;1;
20242,小区水管经常锈水，但使用改善，但作用不明显。,;,;,;
20243,一般，将就用！,NULL;NULL;,一般;将就用;,0;-1;
20244,墨迹了半天也没有给我小礼物   好再收到的机器没有问题 给个4星吧,机器;,没有问题;,1;
20245,买来没用多久就出了点问题，卖家很干脆的就给换了个新的，给个好评吧,NULL;,好评;,1;
20246,还不错，这么低的价格没有给予多大希望，下午使用了一下，头发很顺溜，给个赞吧,NULL;NULL;价格;,赞;不错;低;,1;1;-1;
20247,大司马老师,;,;,;
20248,买了泰拉星环半个月手表就坏了，找客服也没人理，不知道什么意思！,客服;手表;,没人理;坏;,-1;-1;
20249,只能说一分价钱一分货，就这样吧,NULL;,就这样;,0;
20250,电视送来了，总体来说很满意，电视也很漂亮，,总体;电视;,满意;漂亮;,1;1;
20251,送的东西这么差，还不如不送。,东西;,差;,-1;
20252,货已收到，还是很满意。,NULL;,满意;,1;
